wrinvstg_no,fire_type_nm,buld_srtfrm,buld_strctr,buld_srtrf,buld_strct_dong_cnt,ground_nof,bstory_cnt,totar,bottom_area,buld_sttus_nm,dth_cnt,injpsn_cnt,dth_hnl_dmge_cnt,prprty_dmge_amt,fire_ocrn_yr,season_se_nm,qtr_se,fire_ocrn_ymd,fire_ocrn_tm,fire_ocrn_mnth,fire_ocrn_day,fire_ocrn_hour,fire_ocrn_min,daywk,frstt_nm,ward_nm,lfdau_nm,dsp_reqre_time,fire_supesn_time,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se_nm,emd_se_nm,gis_x_axis,gis_y_axis,longitude,la,spt_frstt_dist,spt_safe_cnter_dist,spt_lfdau_dist,ign_htsrc_nm,ign_htsrc_sclas_nm,ign_fctr_lclas_nm,ign_fctr_sclas_nm,frst_igobj_lclas_nm,frst_igobj_sclas_nm,ign_mhrls_lclas_nm,ign_mhrls_sclas_nm,cmbs_expobj_lclas_nm,cmbs_expobj_sclas_nm,fclty_place_lclas_nm,fclty_place_mclas_nm,fclty_place_sclas_nm,ign_floor_nm,soot_area,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,vhcle_place,vhcle_ign_bhf,fld_fire_se,fld_fire_ign_bhf,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,time_unit
230101210512838,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,1124.570000,217.690000,사용중,0,0,0,30,2023,겨울,1,20230101,200200,01,01,20,02,일요일,구로소방서,공단119안전센터,,000353,000000,서울특별시,구로구,구로동,도시,동,190060.778000,542959.065800,,,4.00,1.60,3.00,작동기기,기기 전도/복사열/기기발열,부주의,음식물 조리중,식품,음식물,,,,,판매/업무시설,일반업무,오피스텔,4,0.000000,N,N,N,N,,,,,-1.7,,4.0,270,44,,2000
230101211422204,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,0,379.610000,223.970000,사용중,0,0,0,130,2023,겨울,1,20230101,200600,01,01,20,06,일요일,성동소방서,성수119안전센터,,000341,000512,서울특별시,성동구,성수동2가,도시,동,204704.500000,549226.100000,,,2.40,1.00,0.00,미상,미상,전기적 요인,미확인단락,기타,기타,,,,,생활서비스,음식점,커피숍/다방/카페,1,6.000000,N,N,N,N,,,,,-1.7,,4.0,270,44,,2000
230101213029363,기타(쓰레기 화재등),,,,,,,,,,0,0,0,11,2023,겨울,1,20230101,201800,01,01,20,18,일요일,성동소방서,행당119안전센터,,000413,001417,서울특별시,성동구,행당동,도시,동,203598.300000,551277.050000,,,1.20,1.20,0.00,담뱃불/ 라이터불,담뱃불,부주의,불씨/불꽃/화원방치,쓰레기류,쓰레기,,,,,기타,야외,쓰레기,,,N,N,N,N,,,,,-1.7,,4.0,270,44,,2000
230101223924107,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,1007.550000,254.150000,사용중,0,0,0,51,2023,겨울,1,20230101,210600,01,01,21,06,일요일,서초소방서,잠원119안전센터,,000350,000649,서울특별시,서초구,서초동,도시,동,202244.475000,544568.112500,,,3.40,2.80,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,종이,,,,,기타서비스,기타건축물,기타 건축물,1,2.000000,N,Y,N,N,,,,,-2.2,,3.0,270,45,,2000
230102003219879,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,0,386.720000,214.550000,사용중,0,0,0,15,2023,겨울,1,20230101,222500,01,01,22,25,일요일,강서소방서,화곡119안전센터,,000400,000700,서울특별시,강서구,화곡동,도시,동,186436.448500,548170.463900,,,5.00,1.70,0.00,작동기기,기기 전도/복사열/기기발열,기계적 요인,과열/ 과부하,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,판매/업무시설,판매시설,시장,1,0.000000,N,N,N,N,,,,,-2.7,,4.0,320,45,,2000
230102024104536,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,15,1,5444.430000,422.570000,사용중,0,0,0,491,2023,겨울,1,20230102,011200,01,02,01,12,월요일,은평소방서,녹번119안전센터,,000400,001300,서울특별시,은평구,응암동,도시,동,192830.840000,555551.110000,,,3.50,1.50,0.00,작동기기,기기 전도/복사열/기기발열,부주의,불씨/불꽃/화원방치,전기/전자,전기/ 전자기기 케이스,,,,,판매/업무시설,일반업무,기타 일반업무시설,1,5.000000,N,Y,N,N,,,,,-5.0,,3.0,270,49,,2000
230102044353984,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,12,1,4129.150000,408.050000,사용중,0,0,0,303,2023,겨울,1,20230102,022800,01,02,02,28,월요일,강서소방서,등촌119안전센터,,000400,001500,서울특별시,강서구,등촌동,도시,동,186668.924100,551104.886000,,,1.60,1.60,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,나무,,,,,주거,공동주택,아파트,1,5.000000,N,Y,N,N,,,,,-5.6,,2.0,270,51,,2000
230102070642030,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,4969.980000,766.800000,사용중,0,0,0,220,2023,겨울,1,20230102,055300,01,02,05,53,월요일,은평소방서,수색119안전센터,,000256,001054,서울특별시,은평구,증산동,도시,동,192145.695500,554010.902200,,,5.10,3.10,0.00,기타,기타,부주의,기기(전기/ 기계 등) 사용.설치부주의,침구/직물류,의류,,,,,집합시설,운동시설,체력단련장(헬스장),2,0.000000,N,N,N,N,,,,,-6.7,,2.0,340,52,,2000
230102071703382,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,410.420000,53.460000,사용중,0,0,0,63,2023,겨울,1,20230102,060300,01,02,06,03,월요일,도봉소방서,도봉119안전센터,,000444,001100,서울특별시,도봉구,방학동,도시,동,203108.830000,562851.150000,,,1.00,1.00,0.00,작동기기,기타(작동기기),부주의,기기(전기/ 기계 등) 사용.설치부주의,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,판매/업무시설,판매시설,시장,1,0.000000,N,N,N,N,,,,,-6.4,,3.0,320,51,,2000
230102082515922,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,2,1,4127.070000,1832.150000,사용중,0,0,0,493,2023,겨울,1,20230102,071400,01,02,07,14,월요일,광진소방서,능동119안전센터,,000325,001200,서울특별시,광진구,자양동,도시,동,206100.770000,548709.240000,,,2.00,2.00,0.00,불꽃/ 불티,모닥불/ 연탄/ 숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,목재/ 합판,,,,,생활서비스,음식점,치킨/족발,1,5.000000,N,Y,N,N,,,,,-6.6,,3.0,290,52,,2000
230102110337339,기타(쓰레기 화재등),,,,,,,,,,0,0,0,63,2023,겨울,1,20230102,101200,01,02,10,12,월요일,용산소방서,이태원119안전센터,,000421,000008,서울특별시,용산구,한남동,도시,동,200394.953600,548233.933700,,,3.20,0.90,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,기타,야외,쓰레기,,,N,N,N,N,,,,,-5.1,,3.0,250,47,,2000
230102132323525,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,12,2,1019.390000,60.270000,사용중,0,0,0,174,2023,겨울,1,20230102,112600,01,02,11,26,월요일,영등포소방서,영등포119안전센터,,000438,000552,서울특별시,영등포구,신길동,도시,동,191244.460000,545173.020000,,,2.20,2.20,0.00,작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),합성수지,플라스틱/ PVC/ 비닐/ 장판,생활기기,세탁기,,,주거,공동주택,아파트,9,0.000000,N,Y,N,N,,,,,-4.1,,4.0,290,44,,2000
230102123557496,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,1571.680000,30.000000,사용중,0,0,0,48,2023,겨울,1,20230102,112700,01,02,11,27,월요일,양천소방서,양천119안전센터,,000406,000004,서울특별시,양천구,신정동,도시,동,187684.150000,547380.760000,,,1.50,1.50,0.00,작동기기,전기적 아크(단락),전기적 요인,미확인단락,전기/전자,전선피복,,,,,판매/업무시설,일반업무,일반회사,3,0.000000,N,Y,N,N,,,,,-4.1,,4.0,290,44,,2000
230102133403745,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,2,0,60.000000,60.000000,사용중,0,0,0,16049,2023,겨울,1,20230102,113300,01,02,11,33,월요일,종로소방서,연건119안전센터,,000134,010406,서울특별시,종로구,효제동,도시,동,200211.480000,552609.610000,,,1.60,1.30,0.00,미상,미상,미상,미상,미상,미상,,,,,집합시설,종교시설,교회,1,0.000000,N,N,N,N,,,,,-4.1,,4.0,290,44,,2000
230102124136144,기타(쓰레기 화재등),,,,,,,,,,0,0,0,5,2023,겨울,1,20230102,120900,01,02,12,09,월요일,송파소방서,가락119안전센터,,000250,000451,서울특별시,송파구,가락동,도시,동,210563.060100,543903.383000,,,2.50,1.50,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,기타,야외,쓰레기,,,N,N,N,N,,,,,-2.6,,3.0,270,37,,2000
230102154958804,건축/구조물,양식(옥),벽돌조,스레트가,,3,1,172.470000,42.500000,사용중,0,0,0,3782,2023,겨울,1,20230102,134400,01,02,13,44,월요일,마포소방서,성산119안전센터,,000210,001400,서울특별시,마포구,중동,도시,동,192167.317300,552250.937400,,,4.20,1.00,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,공동주택,다세대주택,1,37.000000,N,N,N,N,,,,,-2.2,,4.0,290,35,,2000
230102170152953,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,214.110000,71.370000,사용중,0,0,0,18,2023,겨울,1,20230102,143700,01,02,14,37,월요일,서대문소방서,북가좌119안전센터,,000452,000349,서울특별시,서대문구,남가좌동,도시,동,193153.170000,553478.170000,,,2.80,1.20,0.00,작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,기타,기타,,,,,주거,단독주택,단독주택,2,1.000000,N,N,N,N,,,,,-1.4,,3.0,250,34,,2000
230102172949045,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,13,3,37827.790000,4238.800000,사용중,0,0,0,138,2023,겨울,1,20230102,155700,01,02,15,57,월요일,노원소방서,상계119안전센터,,000458,000044,서울특별시,노원구,상계동,도시,동,206104.010000,562241.440000,,,3.80,2.50,0.00,작동기기,기기 전도/복사열/기기발열,기계적 요인,오일/연료누설,식품,튀김유,,,,,생활서비스,음식점,치킨/족발,-1,0.000000,N,Y,N,N,,,,,-0.7,,3.0,270,34,,2000
230103012010164,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,373.420000,124.440000,사용중,0,0,0,413,2023,겨울,1,20230102,160000,01,02,16,00,월요일,관악소방서,신림119안전센터,,000404,001046,서울특별시,관악구,신림동,도시,동,192950.380000,542786.670000,,,4.40,1.60,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,종이,,,,,생활서비스,일상서비스,수리/A/S/상하수도,1,3.000000,N,N,N,N,,,,,-0.9,,3.0,290,34,,2000
230102200504532,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,656.630000,121.270000,사용중,0,0,0,408,2023,겨울,1,20230102,173400,01,02,17,34,월요일,중랑소방서,중화119안전센터,,000419,000247,서울특별시,중랑구,상봉동,도시,동,208035.450000,555044.080000,,,2.80,1.40,0.00,작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,전기/전자,전선피복,계절용 기기,냉난방기,,,생활서비스,음식점,일반주점,1,10.000000,N,N,N,N,,,,,-1.7,,2.0,290,37,,2000
230103032358520,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,16,3,6723.920000,490.070000,사용중,0,1,1,31542,2023,겨울,1,20230102,183800,01,02,18,38,월요일,관악소방서,관악119안전센터,,000740,002800,서울특별시,관악구,봉천동,도시,동,196868.315800,541288.884200,,,2.80,2.80,0.00,미상,미상,미상,미상,미상,미상,,,,,주거,공동주택,아파트,2,35.000000,N,Y,N,N,,,,,-2.7,,3.0,270,39,,2000
230102200636046,기타(쓰레기 화재등),,,,,,,,,,0,0,0,74,2023,겨울,1,20230102,191200,01,02,19,12,월요일,강남소방서,삼성119안전센터,,000430,000639,서울특별시,강남구,삼성동,도시,동,204086.230000,545674.770000,,,2.40,2.40,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,기타(종이/목재/건초등),,,,,기타,야외,쓰레기,,2.000000,N,N,N,N,,,,,-3.4,,3.0,270,44,,2000
230102233402783,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,551.130000,145.450000,사용중,0,0,0,599,2023,겨울,1,20230102,211900,01,02,21,19,월요일,노원소방서,공릉119안전센터,,000433,000626,서울특별시,노원구,공릉동,도시,동,206766.450000,558818.970000,,,1.40,1.50,0.00,작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,전기/전자,전선피복,계절용 기기,냉난방기,,,생활서비스,음식점,한식,1,0.000000,N,N,N,N,,,,,-4.4,,2.0,290,48,,2000
230103002939649,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,801.300000,131.170000,사용중,0,0,0,421,2023,겨울,1,20230102,230100,01,02,23,01,월요일,강남소방서,삼성119안전센터,,000317,002305,서울특별시,강남구,대치동,도시,동,205250.730000,545167.970000,,,0.90,0.90,0.00,작동기기,기기 전도/복사열/기기발열,기계적 요인,과열/ 과부하,기타,기타,,,,,생활서비스,음식점,일반주점,-1,10.000000,N,Y,Y,N,,,,,-5.8,,2.0,270,49,,2000
230103045914473,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,5,1,2592.000000,427.680000,사용중,0,0,0,2850,2023,겨울,1,20230103,025000,01,03,02,50,화요일,강서소방서,등촌119안전센터,,000140,002256,서울특별시,강서구,화곡동,도시,동,187210.230000,548671.980000,,,3.70,1.50,0.00,작동기기,기기 전도/복사열/기기발열,부주의,가연물 근접방치,침구/직물류,이불(베개/시트),,,,,주거,공동주택,아파트,5,0.000000,N,N,N,N,,,,,-7.6,,1.0,320,59,,2000
230103084242634,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,6,0,1497.140000,268.420000,사용중,0,0,0,19060,2023,겨울,1,20230103,052100,01,03,05,21,화요일,금천소방서,금천119안전센터,,000253,002356,서울특별시,금천구,독산동,도시,동,190463.600000,541248.630000,,,1.50,1.50,0.00,작동기기,불꽃/ 스파크/ 정전기,기계적 요인,자동제어 실패,합성수지,플라스틱/ PVC/ 비닐/ 장판,산업장비,기타(산업장비),,,산업시설,공장시설,금속기계 및 기구공업,1,100.000000,Y,Y,N,N,,,,,-8.4,,2.0,290,61,,2000
230103104312948,기타(쓰레기 화재등),,,,,,,,,,0,0,0,50,2023,겨울,1,20230103,095800,01,03,09,58,화요일,도봉소방서,방학119안전센터,,000320,000500,서울특별시,도봉구,창동,도시,동,204308.380600,561539.173200,,,1.50,1.50,0.00,담뱃불/ 라이터불,라이터불/ 성냥불,방화의심,방화의심,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,기타,도로,기타도로,,,N,N,N,N,,,,,-8.3,,2.0,50,65,,2000
230103121822467,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,249.030000,84.180000,사용중,0,0,0,163,2023,겨울,1,20230103,110300,01,03,11,03,화요일,도봉소방서,도봉119안전센터,,000341,000719,서울특별시,도봉구,방학동,도시,동,202658.690000,563075.300000,,,1.80,2.50,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,단독주택,단독주택,1,2.000000,N,N,N,N,,,,,-3.4,,3.0,290,41,,2000
230103145042036,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,16,2,2584.020000,184.820000,사용중,0,0,0,1678,2023,겨울,1,20230103,111000,01,03,11,10,화요일,송파소방서,종합운동장119안전센터,,000328,003028,서울특별시,송파구,잠실동,도시,동,207030.450000,545711.530000,,,5.50,1.50,0.00,미상,미상,미상,미상,종이/목재/건초등,종이,,,,,판매/업무시설,일반업무,오피스텔,1,20.000000,N,Y,N,N,,,,,-3.4,,3.0,290,41,,2000
230103121808176,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,15,1,6348.600000,655.320000,사용중,0,0,0,138,2023,겨울,1,20230103,114000,01,03,11,40,화요일,중부소방서,무학119안전센터,,000213,000521,서울특별시,중구,신당동,도시,동,202098.791000,551419.105800,,,1.10,1.10,0.00,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,튀김유,,,,,주거,공동주택,아파트,11,1.000000,N,N,N,N,,,,,-3.4,,3.0,290,41,,2000
230103150757958,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,4,1,657.520000,156.380000,사용중,0,0,0,171,2023,겨울,1,20230103,123600,01,03,12,36,화요일,마포소방서,서교119안전센터,,000333,000400,서울특별시,마포구,연남동,도시,동,192921.830000,551257.260000,,,3.20,1.70,0.00,작동기기,기기 전도/복사열/기기발열,부주의,기기(전기/ 기계 등) 사용.설치부주의,가구,소파,계절용 기기,전기장판/담요/방석류,,,주거,공동주택,다세대주택,2,0.000000,N,N,N,N,,,,,-2.3,,3.0,290,36,,2000
230103144944044,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,211.160000,99.040000,사용중,0,0,0,30,2023,겨울,1,20230103,125000,01,03,12,50,화요일,강서소방서,발산119안전센터,,000131,000600,서울특별시,강서구,내발산동,도시,동,185689.920000,550624.490000,,,2.70,0.30,0.00,작동기기,전기적 아크(단락),전기적 요인,미확인단락,전기/전자,전선피복,배선/배선기구,전력공급용 전선,,,생활서비스,일상서비스,기타 일상서비스,1,1.000000,N,N,N,N,,,,,-2.3,,3.0,290,36,,2000
230103151103455,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,412.680000,82.080000,사용중,0,0,0,30,2023,겨울,1,20230103,130700,01,03,13,07,화요일,강서소방서,발산119안전센터,,000310,000800,서울특별시,강서구,화곡동,도시,동,185941.220000,549194.650000,,,3.10,0.70,0.00,작동기기,전기적 아크(단락),전기적 요인,미확인단락,전기/전자,전선피복,배선/배선기구,옥내 인입배선,,,판매/업무시설,판매시설,상가빌딩,1,0.000000,N,N,N,N,,,,,-1.3,,3.0,290,34,,2000
230103173323981,건축/구조물,양식(옥),철근콘크리트조,슬라브가,3,15,3,190392.000000,14951.820000,사용중,0,0,0,27,2023,겨울,1,20230103,131600,01,03,13,16,화요일,금천소방서,금천119안전센터,,000728,001032,서울특별시,금천구,가산동,도시,동,189629.679700,542221.279200,,,3.90,3.90,0.00,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,산업시설,공장시설,그 밖의 공업,8,0.000000,N,Y,N,N,,,,,-1.3,,3.0,290,34,,2000
230103152311765,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,716.310000,331.000000,사용중,0,0,0,16,2023,겨울,1,20230103,142500,01,03,14,25,화요일,서대문소방서,연희119안전센터,,000346,000109,서울특별시,서대문구,창천동,도시,동,193992.640000,551036.310000,,,2.50,2.50,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,단독주택,다가구주택,1,1.000000,N,N,N,N,,,,,-0.2,,3.0,270,30,,2000
230103171544283,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,230.080000,77.260000,사용중,0,0,0,61,2023,겨울,1,20230103,162900,01,03,16,29,화요일,강북소방서,삼각산119안전센터,,000421,000059,서울특별시,강북구,수유동,도시,동,201902.620000,559107.880000,,,2.50,1.80,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,단독주택,기타 단독주택,1,0.000000,N,N,N,N,,,,,0.3,,2.0,270,30,,2000
